jday,ms,timeStamp,,ts_local,sensq,latq,solq,terrq,pptn,evap,u,v,fw,netq,pptn_mmhr
2449642,2250000,16/10/1994 00:37,2415018,16/10/1994 04:43,-8,-138,0,-100,0.0E+00,-4.9E-09,-0.012,-0.0052,-5E-09,-245,0.0000
2449642,5850000,16/10/1994 01:37,2415018,16/10/1994 05:43,-8,-149,9,-100.19394,0.0E+00,-5.0E-09,-0.013,-0.0065,-5E-09,-248,0.0000
2449642,9450000,16/10/1994 02:37,2415018,16/10/1994 06:43,-6,-157,163,-99.8164,0.0E+00,-5.0E-09,-0.013,-0.0077,-5E-09,-99,0.0000
2449642,13050000,16/10/1994 03:37,2415018,16/10/1994 07:43,-4,-157,412,-99.430626,0.0E+00,-4.9E-09,-0.013,-0.0090,-5E-09,151,0.0000
2449642,16650000,16/10/1994 04:37,2415018,16/10/1994 08:43,-5,-190,638,-99.24604,0.0E+00,-4.8E-09,-0.020,-0.0152,-5E-09,344,0.0000
2449642,20250000,16/10/1994 05:37,2415018,16/10/1994 09:43,-5,-197,811,-99.088974,0.0E+00,-4.8E-09,-0.022,-0.0191,-5E-09,511,0.0000
2449642,23849999,16/10/1994 06:37,2415018,16/10/1994 10:43,-4,-199,921,-98.87211,0.0E+00,-4.9E-09,-0.023,-0.0184,-5E-09,619,0.0000
2449642,27450001,16/10/1994 07:37,2415018,16/10/1994 11:43,-5,-200,963,-98.78314,0.0E+00,-4.9E-09,-0.025,-0.0194,-5E-09,659,0.0000
2449642,31050000,16/10/1994 08:37,2415018,16/10/1994 12:43,-5,-193,925,-98.66706,0.0E+00,-5.3E-09,-0.024,-0.0181,-5E-09,628,0.0000
2449642,34649999,16/10/1994 09:37,2415018,16/10/1994 13:43,-7,-194,823,-98.188095,0.0E+00,-7.6E-09,-0.019,-0.0199,-8E-09,524,0.0000
2449642,38249998,16/10/1994 10:37,2415018,16/10/1994 14:43,-7,-181,648,-97.60608,0.0E+00,-1.0E-08,-0.015,-0.0185,-1E-08,363,0.0000
2449642,41850000,16/10/1994 11:37,2415018,16/10/1994 15:43,-6,-183,424,-96.69111,0.0E+00,-1.2E-08,-0.012,-0.0214,-1E-08,139,0.0000
2449642,45450002,16/10/1994 12:37,2415018,16/10/1994 16:43,-5,-196,175,-95.88341,0.0E+00,-1.4E-08,-0.011,-0.0289,-1E-08,-122,0.0000
2449642,49050003,16/10/1994 13:37,2415018,16/10/1994 17:43,-5,-203,13,-95.50945,0.0E+00,-1.6E-08,-0.011,-0.0336,-2E-08,-291,0.0000
2449642,52650000,16/10/1994 14:37,2415018,16/10/1994 18:43,-6,-213,0,-93.78637,0.0E+00,-1.5E-08,-0.017,-0.0383,-2E-08,-313,0.0000
2449642,56250002,16/10/1994 15:37,2415018,16/10/1994 19:43,-7,-218,0,-89.64116,0.0E+00,-1.3E-08,-0.024,-0.0395,-1E-08,-314,0.0000
2449642,59849998,16/10/1994 16:37,2415018,16/10/1994 20:43,-6,-209,0,-85.783394,0.0E+00,-9.5E-09,-0.031,-0.0310,-9E-09,-301,0.0000
2449642,63450000,16/10/1994 17:37,2415018,16/10/1994 21:43,-6,-202,0,-84.90153,0.0E+00,-5.5E-09,-0.031,-0.0257,-6E-09,-293,0.0000
2449642,67050002,16/10/1994 18:37,2415018,16/10/1994 22:43,-4,-193,0,-79.288246,0.0E+00,-4.9E-09,-0.027,-0.0182,-5E-09,-277,0.0000
2449642,70650003,16/10/1994 19:37,2415018,16/10/1994 23:43,-4,-177,0,-89.957344,0.0E+00,-5.0E-09,-0.022,-0.0095,-5E-09,-271,0.0000
2449642,74250000,16/10/1994 20:37,2415018,17/10/1994 00:43,-5,-154,0,-85.89113,0.0E+00,-5.2E-09,-0.015,-0.0107,-5E-09,-245,0.0000
2449642,77850002,16/10/1994 21:37,2415018,17/10/1994 01:43,-6,-144,0,-82.235725,0.0E+00,-5.2E-09,-0.011,-0.0107,-5E-09,-232,0.0000
2449642,81450003,16/10/1994 22:37,2415018,17/10/1994 02:43,-6,-147,0,-87.42723,0.0E+00,-5.0E-09,-0.012,-0.0127,-5E-09,-240,0.0000
2449642,85050000,16/10/1994 23:37,2415018,17/10/1994 03:43,-7,-156,0,-82.3744,0.0E+00,-4.8E-09,-0.015,-0.0158,-5E-09,-245,0.0000
2449643,2249997,17/10/1994 00:37,2415018,17/10/1994 04:43,-7,-160,0,-84.05282,0.0E+00,-4.6E-09,-0.014,-0.0190,-5E-09,-251,0.0000
2449643,5849993,17/10/1994 01:37,2415018,17/10/1994 05:43,-6,-161,5,-86.83815,0.0E+00,-4.4E-09,-0.014,-0.0189,-4E-09,-249,0.0000
2449643,9450000,17/10/1994 02:37,2415018,17/10/1994 06:43,-6,-183,92,-87.12766,0.0E+00,-4.4E-09,-0.016,-0.0305,-4E-09,-184,0.0000
2449643,13049997,17/10/1994 03:37,2415018,17/10/1994 07:43,-6,-187,263,-86.97567,0.0E+00,-4.3E-09,-0.013,-0.0381,-4E-09,-16,0.0000
2449643,16650003,17/10/1994 04:37,2415018,17/10/1994 08:43,-4,-182,492,-86.60334,0.0E+00,-4.2E-09,-0.018,-0.0364,-4E-09,219,0.0000
2449643,20250000,17/10/1994 05:37,2415018,17/10/1994 09:43,-4,-186,744,-86.42961,0.0E+00,-4.2E-09,-0.028,-0.0341,-4E-09,467,0.0000
2449643,23849997,17/10/1994 06:37,2415018,17/10/1994 10:43,-4,-184,873,-86.55768,0.0E+00,-4.2E-09,-0.024,-0.0347,-4E-09,599,0.0000
2449643,27450003,17/10/1994 07:37,2415018,17/10/1994 11:43,-5,-186,841,-86.60842,0.0E+00,-4.3E-09,-0.020,-0.0425,-4E-09,563,0.0000
2449643,31050000,17/10/1994 08:37,2415018,17/10/1994 12:43,-6,-197,817,-86.43693,0.0E+00,-5.7E-09,-0.021,-0.0483,-6E-09,529,0.0000
2449643,34649997,17/10/1994 09:37,2415018,17/10/1994 13:43,-7,-198,781,-86.11032,0.0E+00,-8.7E-09,-0.017,-0.0493,-9E-09,490,0.0000
2449643,38250003,17/10/1994 10:37,2415018,17/10/1994 14:43,-6,-199,612,-85.656975,0.0E+00,-1.2E-08,-0.019,-0.0489,-1E-08,321,0.0000
2449643,41850000,17/10/1994 11:37,2415018,17/10/1994 15:43,-6,-199,365,-85.18862,0.0E+00,-1.4E-08,-0.026,-0.0554,-1E-08,76,0.0000
2449643,45449997,17/10/1994 12:37,2415018,17/10/1994 16:43,-5,-201,139,-84.5318,1.5E-09,-1.6E-08,-0.027,-0.0596,-1E-08,-152,0.0055
2449643,49050003,17/10/1994 13:37,2415018,17/10/1994 17:43,-4,-205,10,-83.95008,6.4E-10,-1.8E-08,-0.023,-0.0610,-2E-08,-283,0.0023
2449643,52650000,17/10/1994 14:37,2415018,17/10/1994 18:43,-4,-220,0,-81.67653,1.6E-10,-1.6E-08,-0.024,-0.0721,-2E-08,-305,0.0006
2449643,56249997,17/10/1994 15:37,2415018,17/10/1994 19:43,-4,-205,0,-81.95399,0.0E+00,-1.3E-08,-0.026,-0.0647,-1E-08,-291,0.0000
2449643,59849993,17/10/1994 16:37,2415018,17/10/1994 20:43,-4,-190,0,-77.37615,0.0E+00,-8.9E-09,-0.030,-0.0596,-9E-09,-271,0.0000
2449643,63450000,17/10/1994 17:37,2415018,17/10/1994 21:43,-5,-182,0,-83.46858,0.0E+00,-4.8E-09,-0.031,-0.0527,-5E-09,-270,0.0000
2449643,67049997,17/10/1994 18:37,2415018,17/10/1994 22:43,-5,-186,0,-84.16443,0.0E+00,-4.2E-09,-0.027,-0.0548,-4E-09,-274,0.0000
2449643,70649993,17/10/1994 19:37,2415018,17/10/1994 23:43,-4,-180,0,-81.22746,0.0E+00,-4.1E-09,-0.019,-0.0505,-4E-09,-266,0.0000
2449643,74250000,17/10/1994 20:37,2415018,18/10/1994 00:43,-4,-179,0,-76.05084,0.0E+00,-4.2E-09,-0.014,-0.0529,-4E-09,-259,0.0000
2449643,77849997,17/10/1994 21:37,2415018,18/10/1994 01:43,-3,-174,0,-78.359695,0.0E+00,-4.0E-09,-0.009,-0.0515,-4E-09,-255,0.0000
2449643,81449993,17/10/1994 22:37,2415018,18/10/1994 02:43,-3,-173,0,-76.50656,0.0E+00,-3.9E-09,-0.003,-0.0565,-4E-09,-253,0.0000
2449643,85050000,17/10/1994 23:37,2415018,18/10/1994 03:43,-3,-166,0,-69.47951,0.0E+00,-3.8E-09,0.006,-0.0609,-4E-09,-238,0.0000
2449644,2250007,18/10/1994 00:37,2415018,18/10/1994 04:43,-2,-178,0,-65.70082,0.0E+00,-3.6E-09,0.012,-0.0747,-4E-09,-245,0.0000
2449644,5850014,18/10/1994 01:37,2415018,18/10/1994 05:43,-1,-166,6,-66.81015,0.0E+00,-3.6E-09,0.013,-0.0656,-4E-09,-228,0.0000
2449644,9450000,18/10/1994 02:37,2415018,18/10/1994 06:43,-1,-154,95,-69.781296,0.0E+00,-3.5E-09,0.018,-0.0611,-4E-09,-129,0.0000
2449644,13050007,18/10/1994 03:37,2415018,18/10/1994 07:43,0,-144,374,-69.35914,0.0E+00,-3.5E-09,0.022,-0.0528,-3E-09,160,0.0000
2449644,16650014,18/10/1994 04:37,2415018,18/10/1994 08:43,0,-138,576,-69.03969,0.0E+00,-3.4E-09,0.026,-0.0550,-3E-09,368,0.0000
2449644,20250000,18/10/1994 05:37,2415018,18/10/1994 09:43,-6,-154,644,-68.62132,0.0E+00,-3.4E-09,0.034,-0.0751,-3E-09,415,0.0000
2449644,23850007,18/10/1994 06:37,2415018,18/10/1994 10:43,-5,-104,825,-68.41384,0.0E+00,-3.4E-09,0.015,-0.0367,-3E-09,648,0.0000
2449644,27449993,18/10/1994 07:37,2415018,18/10/1994 11:43,-2,-107,867,-68.2757,0.0E+00,-3.3E-09,-0.013,-0.0229,-3E-09,690,0.0000
2449644,31050000,18/10/1994 08:37,2415018,18/10/1994 12:43,-3,-108,817,-68.34295,0.0E+00,-3.5E-09,-0.017,-0.0245,-3E-09,638,0.0000
2449644,34650007,18/10/1994 09:37,2415018,18/10/1994 13:43,-4,-115,774,-68.16534,0.0E+00,-5.4E-09,-0.022,-0.0265,-5E-09,587,0.0000
2449644,38249993,18/10/1994 10:37,2415018,18/10/1994 14:43,-5,-103,609,-67.59961,0.0E+00,-7.2E-09,-0.020,-0.0204,-7E-09,434,0.0000
2449644,41850000,18/10/1994 11:37,2415018,18/10/1994 15:43,-4,-111,346,-67.132645,0.0E+00,-9.1E-09,-0.040,-0.0120,-9E-09,164,0.0000
2449644,45450007,18/10/1994 12:37,2415018,18/10/1994 16:43,-3,-103,152,-66.147644,0.0E+00,-1.1E-08,-0.038,-0.0078,-1E-08,-21,0.0000
2449644,49049993,18/10/1994 13:37,2415018,18/10/1994 17:43,-2,-102,9,-65.40479,0.0E+00,-1.2E-08,-0.041,0.0037,-1E-08,-160,0.0000
2449644,52650000,18/10/1994 14:37,2415018,18/10/1994 18:43,-1,-118,0,-58.219444,0.0E+00,-1.1E-08,-0.072,0.0124,-1E-08,-177,0.0000
2449644,56250007,18/10/1994 15:37,2415018,18/10/1994 19:43,-1,-168,0,-64.237206,0.0E+00,-9.4E-09,-0.135,0.0114,-9E-09,-233,0.0000
2449644,59849993,18/10/1994 16:37,2415018,18/10/1994 20:43,-2,-166,0,-62.57247,0.0E+00,-5.4E-09,-0.124,-0.0004,-5E-09,-230,0.0000
2449644,63450000,18/10/1994 17:37,2415018,18/10/1994 21:43,-2,-172,0,-68.422,0.0E+00,-2.7E-09,-0.103,0.0050,-3E-09,-243,0.0000
