jday,ms,timeStamp,ts_local,sensq,latq,solq,terrq,pptn_mhr,evap_mhr,pptn,evap,u,v,fw,netq
2448917,72000003,21/10/1992 20:00, ,-33.96948,-245.94482,72.83263,-73,4.69E-04,-2.16E-04,1.30E-07,-6.00E-08,0.006115458,0.22908735,7.00E-08,-280.08167
2448917,75600000,21/10/1992 21:00,,-24.028017,-228.3425,210.4109,-75,4.81E-04,-2.29E-04,1.34E-07,-6.37E-08,0.001658313,0.17934543,7.03E-08,-116.959617
2448917,79200002,21/10/1992 22:00,,-16.709677,-199.38441,438.2568,-64,4.10E-04,-2.40E-04,1.14E-07,-6.66E-08,-0.019848084,0.1520386,4.74E-08,158.162713
2448917,82800003,21/10/1992 23:00,,-16.31022,-192.1215,646.5131,-64,9.29E-05,-2.40E-04,2.58E-08,-6.67E-08,-0.053538166,0.15518644,-4.09E-08,374.08138
2448918,0,22/10/1992 00:00,,-11.475597,-166.62816,511.21246,-58,3.04E-05,-2.49E-04,8.45E-09,-6.92E-08,-0.0544428,0.110870905,-6.08E-08,275.108703
2448918,3599997,22/10/1992 01:00,,-13.234179,-157.83722,699.0275,-56,8.96E-06,-2.62E-04,2.49E-09,-7.29E-08,-0.055695288,0.110667065,-7.04E-08,471.956101
2448918,7199993,22/10/1992 02:00,,-13.466259,-165.26474,531.6142,-47,6.07E-06,-2.77E-04,1.68E-09,-7.71E-08,-0.07454675,0.1137821,-7.54E-08,305.883201
2448918,10800000,22/10/1992 03:00,,-14.049242,-166.29526,379.41428,-52,1.05E-05,-2.93E-04,2.92E-09,-8.13E-08,-0.11315832,0.095141575,-7.84E-08,147.069778
2448918,14399997,22/10/1992 04:00,,-12.09033,-169.81291,334.95642,-51,6.68E-07,-2.93E-04,1.85E-10,-8.15E-08,-0.11955666,0.035565905,-8.13E-08,102.05318
2448918,18000003,22/10/1992 05:00,,-16.485933,-160.69945,211.39182,-50,1.91E-08,-2.78E-04,5.30E-12,-7.73E-08,-0.11037823,0.027132798,-7.73E-08,-15.793563
2448918,21600000,22/10/1992 06:00,,-11.378819,-137.80042,159.55989,-56,0.00E+00,-2.60E-04,0.00E+00,-7.23E-08,-0.089539036,0.01692665,-7.23E-08,-45.619349
2448918,25199997,22/10/1992 07:00,,-15.07409,-160.71445,21.110605,-47,9.16E-07,-1.41E-04,2.54E-10,-3.91E-08,-0.09420894,-0.006672469,-3.88E-08,-201.677935
2448918,28800003,22/10/1992 08:00,,-10.990518,-144.17317,0,-58,2.02E-06,-1.56E-04,5.62E-10,-4.33E-08,-0.07842814,-0.018445486,-4.27E-08,-213.163688
2448918,32400000,22/10/1992 09:00,,-7.2646875,-100.73132,0,-48,4.84E-06,-1.67E-04,1.35E-09,-4.65E-08,-0.031057555,-0.018451167,-4.52E-08,-155.9960075
2448918,35999997,22/10/1992 10:00,,-8.360244,-96.91604,0,-48,1.02E-05,-1.72E-04,2.83E-09,-4.78E-08,-0.028648406,-0.022764435,-4.50E-08,-153.276284
2448918,39600003,22/10/1992 11:00,,-5.671162,-100.01263,0,-50,1.26E-05,-1.71E-04,3.51E-09,-4.74E-08,-0.033069775,-0.0186767,-4.39E-08,-155.683792
2448918,43200000,22/10/1992 12:00,,-4.9896736,-113.64197,0,-56,4.56E-06,-1.62E-04,1.27E-09,-4.49E-08,-0.04414534,-0.025731664,-4.36E-08,-174.6316436
2448918,46799997,22/10/1992 13:00,,-5.222618,-116.42399,0,-63,4.92E-06,-1.55E-04,1.37E-09,-4.31E-08,-0.04095381,-0.02247084,-4.17E-08,-184.646608
2448918,50400003,22/10/1992 14:00,,-5.586237,-113.04545,0,-63,6.25E-05,-1.63E-04,1.74E-08,-4.53E-08,-0.030731637,-0.024381218,-2.79E-08,-181.631687
2448918,54000000,22/10/1992 15:00,,-5.718525,-109.72803,0,-63,1.56E-04,-1.83E-04,4.33E-08,-5.08E-08,-0.027238049,-0.021353764,-7.50E-09,-178.446555
2448918,57599997,22/10/1992 16:00,,-5.885154,-123.237915,0,-66,1.85E-04,-2.00E-04,5.13E-08,-5.57E-08,-0.028076984,-0.024710206,-4.40E-09,-195.123069
2448918,61199993,22/10/1992 17:00,,-6.2487946,-124.79311,0,-64,5.68E-05,-2.00E-04,1.58E-08,-5.56E-08,-0.029159896,-0.025184127,-3.98E-08,-195.0419046
2448918,64800000,22/10/1992 18:00,,-5.8770885,-133.89995,0,-70,3.06E-05,-1.90E-04,8.50E-09,-5.27E-08,-0.027694626,-0.02875457,-4.42E-08,-209.7770385
2448918,68399997,22/10/1992 19:00,,-8.56949,-121.8954,1.5237464,-58,8.60E-05,-9.84E-05,2.39E-08,-2.73E-08,-0.024254194,-0.015292573,-3.40E-09,-186.9411436
2448918,71999993,22/10/1992 20:00,,-10.927375,-143.24089,73.74457,-67,1.07E-04,-1.02E-04,2.97E-08,-2.84E-08,-0.028697986,-0.034155637,1.30E-09,-147.423695
2448918,75600000,22/10/1992 21:00,,-6.600334,-145.30118,273.27972,-63,2.77E-05,-9.83E-05,7.68E-09,-2.73E-08,-0.0268859,-0.043480627,-1.96E-08,58.378206
2448918,79199997,22/10/1992 22:00,,-7.2674227,-136.87541,519.7224,-68,6.23E-05,-1.02E-04,1.73E-08,-2.84E-08,-0.025288403,-0.036516156,-1.11E-08,307.5795673
2448918,82799993,22/10/1992 23:00,,-8.482469,-152.53691,720.1874,-73,1.48E-04,-1.17E-04,4.12E-08,-3.25E-08,-0.030303486,-0.033981122,8.70E-09,486.168021
2448919,0,23/10/1992 00:00,,-4.300312,-116.296234,878.96796,-70,1.56E-04,-1.32E-04,4.32E-08,-3.66E-08,-0.015342777,-0.028614279,6.60E-09,688.371414
2448919,3600007,23/10/1992 01:00,,1.604161,-113.07243,901.48755,-61,1.21E-04,-1.38E-04,3.36E-08,-3.85E-08,-0.017428825,-0.033962574,-4.90E-09,729.019281
2448919,7200014,23/10/1992 02:00,,0.5297115,-119.66954,856.23303,-65,1.25E-04,-1.43E-04,3.48E-08,-3.98E-08,-0.01656009,-0.032901216,-5.00E-09,672.0932015
2448919,10800000,23/10/1992 03:00,,0.32703683,-109.97364,826.6144,-73,1.05E-04,-1.42E-04,2.91E-08,-3.95E-08,-0.009799893,-0.025517184,-1.04E-08,643.9677968
2448919,14400007,23/10/1992 04:00,,0.37196183,-113.89028,733.0323,-75,1.08E-04,-1.38E-04,2.99E-08,-3.83E-08,-0.012427388,-0.026831409,-8.40E-09,544.5139818
2448919,18000014,23/10/1992 05:00,,-0.0845582,-108.28513,488.63815,-75,8.41E-05,-1.37E-04,2.34E-08,-3.81E-08,-0.00779708,-0.021040395,-1.47E-08,305.2684618
2448919,21600000,23/10/1992 06:00,,0.45305395,-98.21422,290.03162,-75,1.01E-04,-1.32E-04,2.80E-08,-3.68E-08,-0.006403163,-0.017012428,-8.80E-09,117.270454
2448919,25200007,23/10/1992 07:00,,-2.983242,-113.229385,70.67991,-70,1.75E-05,-1.49E-04,4.87E-09,-4.15E-08,-0.009244466,-0.020518806,-3.66E-08,-115.532717
2448919,28799993,23/10/1992 08:00,,-4.506179,-119.925514,0,-71,1.50E-05,-1.45E-04,4.16E-09,-4.03E-08,-0.013351654,-0.022205774,-3.61E-08,-195.431693
2448919,32400000,23/10/1992 09:00,,-4.199435,-115.76186,0,-73,1.81E-05,-1.48E-04,5.02E-09,-4.10E-08,-0.011388356,-0.02025168,-3.60E-08,-192.961295
2448919,36000007,23/10/1992 10:00,,-4.1788187,-106.52895,0,-75,3.41E-05,-1.54E-04,9.48E-09,-4.27E-08,-0.011564816,-0.016829949,-3.32E-08,-185.7077687
